Family,Language,Tokens,Mono LAS,Joint LAS,Mono UAS,Joint UAS,Mono UPOS,Joint UPOS
Mongolic,Daur,662,57.39±4.96,60.55±5.71,68.67±3.54,69.58±5.95,70.78±3.13,72.57±2.34
Mongolic,Kalmyk,483,50.04±10.35,55.50±9.41,65.81±6.16,68.83±7.15,71.11±4.68,75.59±4.09
Mongolic,Khalkha,472,64.29±5.06,69.33±3.91,76.01±5.47,81.34±5.98,77.18±4.99,76.58±6.11
Mongolic,Ordos,297,52.19±3.23,61.79±5.14,74.22±4.59,79.10±6.42,63.65±8.51,64.36±7.16
Mongolic,Tu,603,49.10±4.94,60.86±3.53,65.02±5.70,72.50±4.66,72.33±4.95,73.27±3.46
Tungusic,Even,302,32.36±13.44,38.92±5.63,44.06±14.31,49.58±7.37,50.18±9.19,54.31±10.82
Tungusic,Evenki,261,50.83±15.89,60.78±11.13,65.66±20.98,70.05±13.85,63.12±7.32,68.96±4.30
Tungusic,Manchu,451,48.62±9.16,57.60±3.73,66.09±6.89,70.06±1.33,72.20±2.99,71.50±5.55
Tungusic,Nanai,822,36.69±4.70,43.64±4.40,50.77±3.88,55.61±3.79,70.32±3.00,72.92±1.84
Tungusic,Negidal,281,32.14±8.09,47.67±6.88,58.14±4.97,62.12±7.92,53.02±5.81,58.34±7.83
Tungusic,Oroch,345,82.04±8.17,88.35±7.74,91.02±6.76,92.56±7.71,85.17±4.34,87.10±2.69
Tungusic,Udihe,504,44.18±5.20,51.14±8.51,60.55±9.41,65.14±5.81,63.40±3.46,66.57±3.63
Tungusic,Ulch,231,78.30±9.48,79.09±4.96,90.83±6.59,88.32±5.61,75.65±7.43,71.45±7.05
