family,language,source_file,fold,train_sentences,dev_sentences,test_sentences,train_tokens,dev_tokens,test_tokens
Mongolic,Daur,Mongolic/Daur_core.conllu,0,69,7,19,472,51,139
Mongolic,Daur,Mongolic/Daur_core.conllu,1,69,7,19,472,54,136
Mongolic,Daur,Mongolic/Daur_core.conllu,2,69,7,19,496,48,118
Mongolic,Daur,Mongolic/Daur_core.conllu,3,69,7,19,490,36,136
Mongolic,Daur,Mongolic/Daur_core.conllu,4,69,7,19,488,41,133
Mongolic,Kalmyk,Mongolic/Kalmyk_core.conllu,0,66,7,19,336,37,110
Mongolic,Kalmyk,Mongolic/Kalmyk_core.conllu,1,66,7,19,341,52,90
Mongolic,Kalmyk,Mongolic/Kalmyk_core.conllu,2,67,7,18,352,39,92
Mongolic,Kalmyk,Mongolic/Kalmyk_core.conllu,3,67,7,18,360,35,88
Mongolic,Kalmyk,Mongolic/Kalmyk_core.conllu,4,67,7,18,344,36,103
Mongolic,Khalkha,Mongolic/Khalkha_core.conllu,0,63,7,18,330,48,94
Mongolic,Khalkha,Mongolic/Khalkha_core.conllu,1,63,7,18,320,46,106
Mongolic,Khalkha,Mongolic/Khalkha_core.conllu,2,63,7,18,335,40,97
Mongolic,Khalkha,Mongolic/Khalkha_core.conllu,3,64,7,17,359,32,81
Mongolic,Khalkha,Mongolic/Khalkha_core.conllu,4,64,7,17,335,43,94
Mongolic,Ordos,Mongolic/Ordos_core.conllu,0,62,6,17,213,25,59
Mongolic,Ordos,Mongolic/Ordos_core.conllu,1,62,6,17,224,18,55
Mongolic,Ordos,Mongolic/Ordos_core.conllu,2,62,6,17,215,18,64
Mongolic,Ordos,Mongolic/Ordos_core.conllu,3,62,6,17,216,16,65
Mongolic,Ordos,Mongolic/Ordos_core.conllu,4,62,6,17,220,23,54
Mongolic,Tu,Mongolic/Tu_core.conllu,0,55,6,16,437,49,117
Mongolic,Tu,Mongolic/Tu_core.conllu,1,55,6,16,449,46,108
Mongolic,Tu,Mongolic/Tu_core.conllu,2,56,6,15,415,52,136
Mongolic,Tu,Mongolic/Tu_core.conllu,3,56,6,15,421,51,131
Mongolic,Tu,Mongolic/Tu_core.conllu,4,56,6,15,440,52,111
Tungusic,Even,Tungusic/Even_core.conllu,0,28,3,8,230,28,44
Tungusic,Even,Tungusic/Even_core.conllu,1,28,3,8,213,12,77
Tungusic,Even,Tungusic/Even_core.conllu,2,28,3,8,217,17,68
Tungusic,Even,Tungusic/Even_core.conllu,3,28,3,8,214,26,62
Tungusic,Even,Tungusic/Even_core.conllu,4,29,3,7,230,21,51
Tungusic,Evenki,Tungusic/Evenki_core.conllu,0,28,3,8,195,16,50
Tungusic,Evenki,Tungusic/Evenki_core.conllu,1,28,3,8,189,18,54
Tungusic,Evenki,Tungusic/Evenki_core.conllu,2,28,3,8,197,17,47
Tungusic,Evenki,Tungusic/Evenki_core.conllu,3,28,3,8,176,18,67
Tungusic,Evenki,Tungusic/Evenki_core.conllu,4,29,3,7,190,28,43
Tungusic,Manchu,Tungusic/Manchu_core.conllu,0,58,6,17,315,36,100
Tungusic,Manchu,Tungusic/Manchu_core.conllu,1,59,6,16,324,31,96
Tungusic,Manchu,Tungusic/Manchu_core.conllu,2,59,6,16,327,42,82
Tungusic,Manchu,Tungusic/Manchu_core.conllu,3,59,6,16,335,30,86
Tungusic,Manchu,Tungusic/Manchu_core.conllu,4,59,6,16,330,34,87
Tungusic,Nanai,Tungusic/Nanai_core.conllu,0,81,9,23,586,62,174
Tungusic,Nanai,Tungusic/Nanai_core.conllu,1,81,9,23,592,62,168
Tungusic,Nanai,Tungusic/Nanai_core.conllu,2,81,9,23,584,73,165
Tungusic,Nanai,Tungusic/Nanai_core.conllu,3,82,9,22,593,71,158
Tungusic,Nanai,Tungusic/Nanai_core.conllu,4,82,9,22,596,69,157
Tungusic,Negidal,Tungusic/Negidal_core.conllu,0,45,4,13,202,11,68
Tungusic,Negidal,Tungusic/Negidal_core.conllu,1,45,4,13,205,17,59
Tungusic,Negidal,Tungusic/Negidal_core.conllu,2,45,5,12,197,24,60
Tungusic,Negidal,Tungusic/Negidal_core.conllu,3,45,5,12,208,27,46
Tungusic,Negidal,Tungusic/Negidal_core.conllu,4,45,5,12,216,17,48
Tungusic,Oroch,Tungusic/Oroch_core.conllu,0,80,8,22,249,25,71
Tungusic,Oroch,Tungusic/Oroch_core.conllu,1,80,8,22,240,29,76
Tungusic,Oroch,Tungusic/Oroch_core.conllu,2,80,8,22,248,32,65
Tungusic,Oroch,Tungusic/Oroch_core.conllu,3,80,8,22,244,29,72
Tungusic,Oroch,Tungusic/Oroch_core.conllu,4,80,8,22,258,26,61
Tungusic,Udihe,Tungusic/Udihe_core.conllu,0,68,7,19,379,25,100
Tungusic,Udihe,Tungusic/Udihe_core.conllu,1,68,7,19,364,36,104
Tungusic,Udihe,Tungusic/Udihe_core.conllu,2,68,7,19,373,41,90
Tungusic,Udihe,Tungusic/Udihe_core.conllu,3,68,7,19,363,36,105
Tungusic,Udihe,Tungusic/Udihe_core.conllu,4,69,7,18,358,41,105
Tungusic,Ulch,Tungusic/Ulch_core.conllu,0,67,7,19,167,18,46
Tungusic,Ulch,Tungusic/Ulch_core.conllu,1,67,7,19,178,20,33
Tungusic,Ulch,Tungusic/Ulch_core.conllu,2,67,7,19,152,17,62
Tungusic,Ulch,Tungusic/Ulch_core.conllu,3,68,7,18,174,15,42
Tungusic,Ulch,Tungusic/Ulch_core.conllu,4,68,7,18,159,24,48
